story_id,url_id,story_ready_for_display,story_list_complete,story_date_to_review,story_media_series,story_alt_title,story_alt_description,orig_publ_year,orig_publ_month,orig_publ_day,Story Publication_Author,story_tv_season,story_tv_episode_number,story_tv_episode_sequence,story_tv_episode_title,story_tv_episode_air_date_year,story_tv_episode_air_date_month,story_tv_episode_air_date_day,story_note,story_recurring_event_number
1,70331,No,,,,,,2011,7,,Andrea Minarcek,,,,,,,,,
2,70332,No,,,,,,2011,10,,"Danielle Contray, Nicholas DeRenzo, Nicole Frehsee, Devon O’Neil, Melinda Page, Valerie Rains, Julie Schwietert, and Diane Vadino",,,,,,,,,
3,70354,Yes,,,,,List of the parks in the U.S. National Park Service,,,,,,,,,,,,"This list is meant to be the complete list of parks and other NPS properties, and will be amended as needed.",
4,70355,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,1,101,Classics,2007,4,23,Scraped info from FN's DDD website,
5,70356,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,2,102,That's Italian,2007,4,30,Scraped info from FN's DDD website,
6,70357,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,3,103,Blue Plate Special,2007,5,7,Scraped info from FN's DDD website,
7,70358,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,4,104,Breakfast,2007,5,21,Scraped info from FN's DDD website,
8,70359,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,5,105,BBQ,2007,5,28,Scraped info from FN's DDD website,
9,70360,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,6,106,Local Legends,2007,6,4,Scraped info from FN's DDD website,
10,70361,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,7,107,Burgers,2007,6,11,Scraped info from FN's DDD website,
11,70362,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,8,108,House Specials,2007,6,18,Scraped info from FN's DDD website,
12,70363,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,9,109,Retro,2007,7,9,Scraped info from FN's DDD website,
13,70364,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,10,110,Worth the Trip,2007,7,16,Scraped info from FN's DDD website,
14,70365,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,11,111,Diners A-Plenty,2007,7,23,Scraped info from FN's DDD website,
15,70366,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,1,12,112,American Cookin',2007,7,30,Scraped info from FN's DDD website,
16,70367,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,1,201,Totally Fried,2007,10,1,Scraped info from FN's DDD website,
17,70368,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,2,202,Route 66,2007,10,8,Scraped info from FN's DDD website,
18,70369,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,8,208,One of a Kind,2007,11,19,Scraped info from FN's DDD website,
19,70370,Yes,,,"Diners, Drive-ins and Dives",,"Watch Guy Fieri visit America's most interesting and unique restaurants in Food Network's Diners, Drive-ins and Dives.",,,,,2,4,204,Local Flavor,2007,10,22,Scraped info from FN's DDD website,
